Season,Player,From_Club,To_Club,From_League,To_League,Fee
18/19,Florian Kainz,sv-werder-bremen,1-fc-koln,L1,L2,3000000.0
18/19,Jérôme Gondorf,sv-werder-bremen,sc-freiburg,L1,L1,1300000.0
18/19,Ulisses Garcia,sv-werder-bremen,bsc-young-boys,L1,C1,800000.0
18/19,László Kleinheisler,sv-werder-bremen,fc-astana,L1,KAS1,750000.0
18/19,Leon Guwara,sv-werder-bremen,fc-utrecht,L1,NL1,600000.0
18/19,Sambou Yatabaré,sv-werder-bremen,royal-antwerpen-fc,L1,BE1,200000.0
18/19,Fredrik Jensen,fc-twente-enschede,fc-augsburg,NL2,L1,3000000.0
18/19,André Hahn,hamburger-sv,fc-augsburg,L2,L1,3000000.0
18/19,Moritz Leitner,fc-augsburg,norwich-city,L1,GB2,1500000.0
18/19,Marcel Heller,fc-augsburg,sv-darmstadt-98,L1,L2,350000.0
18/19,Shawn Parker,fc-augsburg,spvgg-greuther-furth,L1,L2,100000.0
18/19,Walace,hamburger-sv,hannover-96,L2,L1,6000000.0
18/19,Genki Haraguchi,hertha-bsc,hannover-96,L1,L1,4500000.0
18/19,Josip Elez,hnk-rijeka,hannover-96,KR1,L1,2500000.0
18/19,Florent Muslija,karlsruher-sc,hannover-96,,L1,1400000.0
18/19,Salif Sané,hannover-96,fc-schalke-04,L1,L1,7000000.0
18/19,Felix Klaus,hannover-96,vfl-wolfsburg,L1,L1,3000000.0
18/19,Martin Harnik,hannover-96,sv-werder-bremen,L1,L1,2250000.0
18/19,Marius Wolf,hannover-96,eintracht-frankfurt,L1,L1,500000.0
18/19,Florian Hübner,hannover-96,1-fc-union-berlin,L1,L2,500000.0
18/19,Jean-Philippe Mateta,olympique-lyon,1-fsv-mainz-05,FR1,L1,8000000.0
18/19,Pierre Kunde,atletico-madrid-b,1-fsv-mainz-05,ES3A,L1,7500000.0
18/19,Moussa Niakhaté,fc-metz,1-fsv-mainz-05,FR2,L1,6000000.0
18/19,Jean-Paul Boëtius,feyenoord-rotterdam,1-fsv-mainz-05,NL1,L1,3500000.0
18/19,Issah Abass,nk-olimpija-ljubljana,1-fsv-mainz-05,SL1,L1,2000000.0
18/19,Abdou Diallo,1-fsv-mainz-05,borussia-dortmund,L1,L1,28000000.0
18/19,Suat Serdar,1-fsv-mainz-05,fc-schalke-04,L1,L1,11000000.0
18/19,Yoshinori Muto,1-fsv-mainz-05,newcastle-united,L1,GB1,10700000.0
18/19,Jonas Lössl,1-fsv-mainz-05,huddersfield-town,L1,GB1,2500000.0
18/19,Pablo de Blasis,1-fsv-mainz-05,sd-eibar,L1,ES1,2000000.0
