Season,Player,From_Club,To_Club,From_League,To_League,Fee
18/19,Thibaut Courtois,fc-chelsea,real-madrid,GB1,ES1,35000000.0
18/19,Cesc Fàbregas,fc-chelsea,as-monaco,GB1,FR1,9000000.0
18/19,Lucas Torreira,sampdoria-genua,fc-arsenal,IT1,GB1,28650000.0
18/19,Bernd Leno,bayer-04-leverkusen,fc-arsenal,L1,GB1,25000000.0
18/19,Sokratis Papastathopoulos,borussia-dortmund,fc-arsenal,L1,GB1,16000000.0
18/19,Mattéo Guendouzi,fc-lorient,fc-arsenal,,GB1,8000000.0
18/19,Lucas Pérez,fc-arsenal,west-ham-united,GB1,GB1,4400000.0
18/19,Chuba Akpom,fc-arsenal,paok-thessaloniki,GB1,GR1,2200000.0
18/19,Joel Campbell,fc-arsenal,frosinone-calcio,GB1,IT1,1500000.0
18/19,Ben Gibson,fc-middlesbrough,fc-burnley,GB2,GB1,16900000.0
18/19,Matej Vydra,derby-county,fc-burnley,GB2,GB1,12200000.0
18/19,Joe Hart,manchester-city,fc-burnley,GB1,GB1,3900000.0
18/19,Sam Vokes,fc-burnley,stoke-city,GB1,GB2,8000000.0
18/19,Richarlison,fc-watford,fc-everton,GB1,GB1,39200000.0
18/19,Yerry Mina,fc-barcelona,fc-everton,ES1,GB1,30250000.0
18/19,Lucas Digne,fc-barcelona,fc-everton,ES1,GB1,20200000.0
18/19,Davy Klaassen,fc-everton,sv-werder-bremen,GB1,L1,13500000.0
18/19,Ramiro Funes Mori,fc-everton,fc-villarreal,GB1,ES1,9000000.0
18/19,Tyias Browning,fc-everton,guangzhou-fc,GB1,CSL,4600000.0
18/19,James Maddison,norwich-city,leicester-city,GB2,GB1,25000000.0
18/19,Ricardo Pereira,fc-porto,leicester-city,PO1,GB1,22000000.0
18/19,Çağlar Söyüncü,sc-freiburg,leicester-city,L1,GB1,21100000.0
18/19,Filip Benkovic,gnk-dinamo-zagreb,leicester-city,KR1,GB1,14500000.0
18/19,Danny Ward,fc-liverpool,leicester-city,GB1,GB1,14000000.0
18/19,Rachid Ghezzal,as-monaco,leicester-city,FR1,GB1,14000000.0
18/19,Jonny Evans,west-bromwich-albion,leicester-city,GB2,GB1,4000000.0
18/19,Riyad Mahrez,leicester-city,manchester-city,GB1,GB1,67800000.0
18/19,Ahmed Musa,leicester-city,al-nasr-riad,GB1,SA1,16500000.0
18/19,Vicente Iborra,leicester-city,fc-villarreal,GB1,ES1,10000000.0
18/19,Miguel Almirón,atlanta-united-fc,newcastle-united,,GB1,24000000.0
18/19,Yoshinori Muto,1-fsv-mainz-05,newcastle-united,L1,GB1,10700000.0
18/19,Mikel Merino,borussia-dortmund,newcastle-united,L1,GB1,7000000.0
18/19,Federico Fernández,swansea-city,newcastle-united,GB2,GB1,6700000.0
18/19,Martin Dúbravka,ac-sparta-prag,newcastle-united,TS1,GB1,4000000.0
18/19,Fabian Schär,deportivo-la-coruna,newcastle-united,ES2,GB1,4000000.0
18/19,Aleksandar Mitrovic,newcastle-united,fc-fulham,GB1,GB1,24700000.0
18/19,Mikel Merino,newcastle-united,real-sociedad-san-sebastian,GB1,ES1,12000000.0
18/19,Chancel Mbemba,newcastle-united,fc-porto,GB1,PO1,4660000.0
18/19,Matz Sels,newcastle-united,rc-strassburg-alsace,GB1,FR1,4000000.0
18/19,Adam Armstrong,newcastle-united,blackburn-rovers,GB1,GB2,1900000.0
18/19,Ivan Toney,newcastle-united,peterborough-united,GB1,GB3,390000.0
18/19,Cheikhou Kouyaté,west-ham-united,crystal-palace,GB1,GB1,10700000.0
18/19,Jefferson Lerma,ud-levante,afc-bournemouth,ES1,GB1,30500000.0
18/19,Dominic Solanke,fc-liverpool,afc-bournemouth,GB1,GB1,21200000.0
18/19,Diego Rico,cd-leganes,afc-bournemouth,ES1,GB1,15000000.0
18/19,Chris Mepham,fc-brentford,afc-bournemouth,GB2,GB1,13600000.0
18/19,David Brooks,sheffield-united,afc-bournemouth,GB2,GB1,11300000.0
18/19,Benik Afobe,afc-bournemouth,wolverhampton-wanderers,GB1,GB1,11400000.0
18/19,Lewis Grabban,afc-bournemouth,nottingham-forest,GB1,GB2,6800000.0
18/19,Max Gradel,afc-bournemouth,fc-toulouse,GB1,FR1,2000000.0
18/19,Felipe Anderson,lazio-rom,west-ham-united,IT1,GB1,38000000.0
18/19,Issa Diop,fc-toulouse,west-ham-united,FR1,GB1,25000000.0
