Season,Player,From_Club,To_Club,From_League,To_League,Fee
18/19,Sebastian Walukiewicz,pogon-stettin,cagliari-calcio,PL1,IT1,3500000.0
18/19,Ragnar Klavan,fc-liverpool,cagliari-calcio,GB1,IT1,1520000.0
18/19,Valter Birsa,chievo-verona,cagliari-calcio,IT1,IT1,300000.0
18/19,Simone Aresti,olbia-calcio-1905,cagliari-calcio,IT3A,IT1,275000.0
18/19,Bartosz Salamon,cagliari-calcio,spal,IT1,IT1,2000000.0
18/19,Luka Krajnc,cagliari-calcio,frosinone-calcio,IT1,IT1,1360000.0
18/19,Federico Melchiorri,cagliari-calcio,ac-perugia-calcio,IT1,IT2,800000.0
18/19,Marco Capuano,cagliari-calcio,frosinone-calcio,IT1,IT1,500000.0
18/19,Daniele Dessena,cagliari-calcio,brescia-calcio,IT1,IT2,250000.0
18/19,Marco Sau,cagliari-calcio,sampdoria-genua,IT1,IT1,100000.0
18/19,Federico Barba,sporting-gijon,chievo-verona,ES2,IT1,3000000.0
18/19,Mariusz Stepinski,fc-nantes,chievo-verona,FR1,IT1,2500000.0
18/19,Joel Obi,fc-turin,chievo-verona,IT1,IT1,2000000.0
18/19,Nenad Tomović,ac-florenz,chievo-verona,IT1,IT1,1300000.0
18/19,Strahinja Tanasijevic,fk-rad-belgrad,chievo-verona,,IT1,300000.0
18/19,Sergej Grubac,apoel-nikosia,chievo-verona,ZYP1,IT1,150000.0
18/19,Lucas Castro,chievo-verona,cagliari-calcio,IT1,IT1,5900000.0
18/19,Ivan Radovanovic,chievo-verona,genua-cfc,IT1,IT1,5000000.0
18/19,Samuel Bastien,chievo-verona,standard-luttich,IT1,BE1,3000000.0
18/19,Lamin Jallow,chievo-verona,us-salernitana-1919,IT1,IT2,1800000.0
18/19,Ali Sowe,chievo-verona,zska-sofia,IT1,,500000.0
18/19,Valter Birsa,chievo-verona,cagliari-calcio,IT1,IT1,300000.0
18/19,Antonino La Gumina,palermo-fc,fc-empoli,IT2,IT1,9000000.0
18/19,Samuel Mraz,msk-zilina,fc-empoli,SLO1,IT1,1500000.0
18/19,Afriyie Acquah,fc-turin,fc-empoli,IT1,IT1,1000000.0
18/19,Jacob Rasmussen,rosenborg-bk,fc-empoli,NO1,IT1,1000000.0
18/19,Lorenzo Lollo,carpi-fc-1909,fc-empoli,IT2,IT1,800000.0
18/19,Joel Untersee,juventus-turin,fc-empoli,IT1,IT1,500000.0
18/19,Riccardo Saponara,fc-empoli,ac-florenz,IT1,IT1,9000000.0
18/19,Jacob Rasmussen,fc-empoli,ac-florenz,IT1,IT1,7000000.0
18/19,Miha Zajc,fc-empoli,fenerbahce-istanbul,IT1,TR1,3500000.0
18/19,Alfredo Donnarumma,fc-empoli,brescia-calcio,IT1,IT2,1800000.0
18/19,Vincent Laurini,fc-empoli,ac-florenz,IT1,IT1,1600000.0
18/19,Germán Pezzella,real-betis-sevilla,ac-florenz,ES1,IT1,9750000.0
18/19,Riccardo Saponara,fc-empoli,ac-florenz,IT1,IT1,9000000.0
18/19,Alban Lafont,fc-toulouse,ac-florenz,FR1,IT1,8000000.0
18/19,Jacob Rasmussen,fc-empoli,ac-florenz,IT1,IT1,7000000.0
18/19,Szymon Żurkowski,gornik-zabrze,ac-florenz,PL1,IT1,4500000.0
18/19,Dávid Hancko,msk-zilina,ac-florenz,SLO1,IT1,3800000.0
18/19,Federico Ceccherini,fc-crotone,ac-florenz,IT2,IT1,3600000.0
18/19,Christian Nørgaard,brondby-if,ac-florenz,DKMR,IT1,3500000.0
18/19,Dušan Vlahović,fk-partizan-belgrad,ac-florenz,,IT1,3200000.0
18/19,Cristiano Biraghi,delfino-pescara-1936,ac-florenz,IT2,IT1,3000000.0
18/19,Vincent Laurini,fc-empoli,ac-florenz,IT1,IT1,1600000.0
18/19,Nikola Kalinic,ac-florenz,ac-mailand,IT1,IT1,22500000.0
18/19,Khouma Babacar,ac-florenz,us-sassuolo,IT1,IT1,7000000.0
18/19,Bruno Gaspar,ac-florenz,sporting-lissabon,IT1,PO1,4500000.0
18/19,Ante Rebic,ac-florenz,eintracht-frankfurt,IT1,L1,4500000.0
18/19,Nenad Tomović,ac-florenz,chievo-verona,IT1,IT1,1300000.0
18/19,Riccardo Baroni,ac-florenz,virtus-entella,IT1,IT3A,360000.0
18/19,Joel Campbell,fc-arsenal,frosinone-calcio,GB1,IT1,1500000.0
18/19,Andrea Beghetto,genua-cfc,frosinone-calcio,IT1,IT1,1500000.0
18/19,Luka Krajnc,cagliari-calcio,frosinone-calcio,IT1,IT1,1360000.0
18/19,Marcello Trotta,us-sassuolo,frosinone-calcio,IT1,IT1,1100000.0
18/19,Francesco Bardi,inter-mailand,frosinone-calcio,IT1,IT1,1000000.0
18/19,Raman Chibsah,benevento-calcio,frosinone-calcio,IT2,IT1,1000000.0
18/19,Emil Hallfredsson,udinese-calcio,frosinone-calcio,IT1,IT1,500000.0
18/19,Marco Capuano,cagliari-calcio,frosinone-calcio,IT1,IT1,500000.0
18/19,Nicola Citro,trapani-calcio,frosinone-calcio,IT3C,IT1,300000.0
18/19,Mauro Vigorito,frosinone-calcio,us-lecce,IT1,IT2,500000.0
18/19,Moussa Koné,frosinone-calcio,buyuksehir-belediye-erzurumspor,IT1,TR1,300000.0
