"Year","From_League","To_League","Longitude","Latitude","Distinction","Season","From_League_name","To_League_name","Fee_total","From_To"
2018,"L1","IT1",12.1669681089005,45.7289881420077,3,"18/19","Bundesliga","Serie A",40000000,"BundesligaSerie A"
2018,"L1","IT1",11.8990746500689,46.7288115520092,4,"18/19","Bundesliga","Serie A",40000000,"BundesligaSerie A"
2018,"L1","IT1",11.590023346661,47.7166885931099,5,"18/19","Bundesliga","Serie A",40000000,"BundesligaSerie A"
2018,"L1","IT1",11.2403439935853,48.6909257852271,6,"18/19","Bundesliga","Serie A",40000000,"BundesligaSerie A"
2018,"L1","IT1",10.8506360328727,49.6498530305534,7,"18/19","Bundesliga","Serie A",40000000,"BundesligaSerie A"
2018,"L1","IT1",10.4215675260754,50.5918264765415,8,"18/19","Bundesliga","Serie A",40000000,"BundesligaSerie A"
2018,"L1","IT1",9.95387400903436,51.515231333898,9,"18/19","Bundesliga","Serie A",40000000,"BundesligaSerie A"
2018,"IT1","L1",9.9485571835693,51.5248145907371,0,"18/19","Serie A","Bundesliga",4500000,"Serie ABundesliga"
2018,"IT1","L1",10.0906043401725,50.499516408854,1,"18/19","Serie A","Bundesliga",4500000,"Serie ABundesliga"
2018,"IT1","L1",10.2749717305513,49.4809770518153,2,"18/19","Serie A","Bundesliga",4500000,"Serie ABundesliga"
2018,"IT1","L1",10.5013433006923,48.4709425629468,3,"18/19","Serie A","Bundesliga",4500000,"Serie ABundesliga"
2018,"IT1","L1",10.7693309904126,47.471144406002,4,"18/19","Serie A","Bundesliga",4500000,"Serie ABundesliga"
2018,"IT1","L1",11.0784753985965,46.4832964969793,5,"18/19","Serie A","Bundesliga",4500000,"Serie ABundesliga"
2018,"IT1","L1",11.4282465707293,45.5090922660211,6,"18/19","Serie A","Bundesliga",4500000,"Serie ABundesliga"
2018,"IT1","L1",11.8180449073784,44.550201754431,7,"18/19","Serie A","Bundesliga",4500000,"Serie ABundesliga"
2018,"IT1","L1",12.2472021920635,43.6082687517851,8,"18/19","Serie A","Bundesliga",4500000,"Serie ABundesliga"
2018,"IT1","L1",12.7149827367549,42.684907978046,9,"18/19","Serie A","Bundesliga",4500000,"Serie ABundesliga"
2018,"ES1","FR1",2.37400008367352,46.8112151872169,0,"18/19","LaLiga","Ligue 1",1500000,"LaLigaLigue 1"
2018,"ES1","FR1",1.50131713707591,46.2950131220792,1,"18/19","LaLiga","Ligue 1",1500000,"LaLigaLigue 1"
2018,"ES1","FR1",0.665500543881693,45.7210351435156,2,"18/19","LaLiga","Ligue 1",1500000,"LaLigaLigue 1"
2018,"ES1","FR1",-0.129630793812144,45.0919037954237,3,"18/19","LaLiga","Ligue 1",1500000,"LaLigaLigue 1"
2018,"ES1","FR1",-0.880443867570952,44.4104936211472,4,"18/19","LaLiga","Ligue 1",1500000,"LaLigaLigue 1"
2018,"ES1","FR1",-1.58350816208172,43.6799180294944,5,"18/19","LaLiga","Ligue 1",1500000,"LaLigaLigue 1"
2018,"ES1","FR1",-2.23561132940773,42.9035150693647,6,"18/19","LaLiga","Ligue 1",1500000,"LaLigaLigue 1"
2018,"ES1","FR1",-2.83377386642184,42.084832177979,7,"18/19","LaLiga","Ligue 1",1500000,"LaLigaLigue 1"
2018,"ES1","FR1",-3.37526272835613,41.2276099724012,8,"18/19","LaLiga","Ligue 1",1500000,"LaLigaLigue 1"
2018,"ES1","FR1",-3.85760381626696,40.3357651584073,9,"18/19","LaLiga","Ligue 1",1500000,"LaLigaLigue 1"
2018,"FR1","ES1",-3.86254233785258,40.3319845511868,0,"18/19","Ligue 1","LaLiga",268400000,"Ligue 1LaLiga"
2018,"FR1","ES1",-2.98977831638016,40.848049527869,1,"18/19","Ligue 1","LaLiga",268400000,"Ligue 1LaLiga"
2018,"FR1","ES1",-2.15387157234636,41.4218962082755,2,"18/19","Ligue 1","LaLiga",268400000,"Ligue 1LaLiga"
2018,"FR1","ES1",-1.35864141975335,42.0509026484187,3,"18/19","Ligue 1","LaLiga",268400000,"Ligue 1LaLiga"
2018,"FR1","ES1",-0.607721318527698,42.7321948756678,4,"18/19","Ligue 1","LaLiga",268400000,"Ligue 1LaLiga"
2018,"FR1","ES1",0.095457727001893,43.4626600201222,5,"18/19","Ligue 1","LaLiga",268400000,"Ligue 1LaLiga"
2018,"FR1","ES1",0.747682844593614,44.2389605375233,6,"18/19","Ligue 1","LaLiga",268400000,"Ligue 1LaLiga"
2018,"FR1","ES1",1.34597397392136,45.0575494587178,7,"18/19","Ligue 1","LaLiga",268400000,"Ligue 1LaLiga"
2018,"FR1","ES1",1.88759748267034,45.9146865959982,8,"18/19","Ligue 1","LaLiga",268400000,"Ligue 1LaLiga"
2018,"FR1","ES1",2.37007865668653,46.8064556322709,9,"18/19","Ligue 1","LaLiga",268400000,"Ligue 1LaLiga"
2018,"ES1","GB1",-3.86656631069273,40.3330288573205,0,"18/19","LaLiga","Premier League",232950000,"LaLigaPremier League"
2018,"ES1","GB1",-3.50117836266055,41.2574101804816,1,"18/19","LaLiga","Premier League",232950000,"LaLigaPremier League"
2018,"ES1","GB1",-3.16218692218413,42.1917944624876,2,"18/19","LaLiga","Premier League",232950000,"LaLigaPremier League"
2018,"ES1","GB1",-2.84986539324417,43.1354281020622,3,"18/19","LaLiga","Premier League",232950000,"LaLigaPremier League"
2018,"ES1","GB1",-2.56446566995682,44.0875500381206,4,"18/19","LaLiga","Premier League",232950000,"LaLigaPremier League"
2018,"ES1","GB1",-2.30621793341553,45.0473923635822,5,"18/19","LaLiga","Premier League",232950000,"LaLigaPremier League"
2018,"ES1","GB1",-2.07533046604502,46.014180944704,6,"18/19","LaLiga","Premier League",232950000,"LaLigaPremier League"
2018,"ES1","GB1",-1.87198948361698,46.9871360454364,7,"18/19","LaLiga","Premier League",232950000,"LaLigaPremier League"
2018,"ES1","GB1",-1.69635898506291,47.9654729562978,8,"18/19","LaLiga","Premier League",232950000,"LaLigaPremier League"
2018,"ES1","GB1",-1.54858062020555,48.9484026272592,9,"18/19","LaLiga","Premier League",232950000,"LaLigaPremier League"
2018,"ES1","GB1",-1.42877357551507,49.9351323041305,10,"18/19","LaLiga","Premier League",232950000,"LaLigaPremier League"
2018,"ES1","GB1",-1.33703447798266,50.9248661679344,11,"18/19","LaLiga","Premier League",232950000,"LaLigaPremier League"
2018,"ES1","GB1",-1.27343731718879,51.916805976751,12,"18/19","LaLiga","Premier League",232950000,"LaLigaPremier League"
2018,"ES1","GB1",-1.2380333856289,52.9101517095179,13,"18/19","LaLiga","Premier League",232950000,"LaLigaPremier League"
2018,"GB1","ES1",-1.23079067911815,52.9137918641723,0,"18/19","Premier League","LaLiga",83000000,"Premier LeagueLaLiga"
2018,"GB1","ES1",-1.59603341971231,51.9893531568372,1,"18/19","Premier League","LaLiga",83000000,"Premier LeagueLaLiga"
2018,"GB1","ES1",-1.93487808179957,51.0549156371757,2,"18/19","Premier League","LaLiga",83000000,"Premier LeagueLaLiga"
2018,"GB1","ES1",-2.24705137977919,50.1112329494015,3,"18/19","Premier League","LaLiga",83000000,"Premier LeagueLaLiga"
2018,"GB1","ES1",-2.53230153908652,49.1590661941578,4,"18/19","Premier League","LaLiga",83000000,"Premier LeagueLaLiga"
2018,"GB1","ES1",-2.79039849925471,48.1991833146729,5,"18/19","Premier League","LaLiga",83000000,"Premier LeagueLaLiga"
2018,"GB1","ES1",-3.02113409946348,47.2323584773976,6,"18/19","Premier League","LaLiga",83000000,"Premier LeagueLaLiga"
2018,"GB1","ES1",-3.22432224642532,46.2593714476226,7,"18/19","Premier League","LaLiga",83000000,"Premier LeagueLaLiga"
2018,"GB1","ES1",-3.39979906447384,45.2810069605813,8,"18/19","Premier League","LaLiga",83000000,"Premier LeagueLaLiga"
2018,"GB1","ES1",-3.547423027733,44.2980540885432,9,"18/19","Premier League","LaLiga",83000000,"Premier LeagueLaLiga"
2018,"GB1","ES1",-3.66707507426087,43.3113056044107,10,"18/19","Premier League","LaLiga",83000000,"Premier LeagueLaLiga"
2018,"GB1","ES1",-3.75865870207564,42.3215573423296,11,"18/19","Premier League","LaLiga",83000000,"Premier LeagueLaLiga"
2018,"GB1","ES1",-3.82210004698658,41.3296075558323,12,"18/19","Premier League","LaLiga",83000000,"Premier LeagueLaLiga"
2018,"GB1","ES1",-3.85734794216713,40.3362562740284,13,"18/19","Premier League","LaLiga",83000000,"Premier LeagueLaLiga"
2018,"ES1","IT1",-3.86096634570212,40.3337998805472,0,"18/19","LaLiga","Serie A",282450000,"LaLigaSerie A"
2018,"ES1","IT1",-2.87153041486559,40.3160332611943,1,"18/19","LaLiga","Serie A",282450000,"LaLigaSerie A"
2018,"ES1","IT1",-1.88193665668721,40.3178519882105,2,"18/19","LaLiga","Serie A",282450000,"LaLigaSerie A"
2018,"ES1","IT1",-0.892572714483214,40.3392553491647,3,"18/19","LaLiga","Serie A",282450000,"LaLigaSerie A"
2018,"ES1","IT1",0.0961738584536387,40.3802349599399,4,"18/19","LaLiga","Serie A",282450000,"LaLigaSerie A"
2018,"ES1","IT1",1.08391575066612,40.4407747680175,5,"18/19","LaLiga","Serie A",282450000,"LaLigaSerie A"
2018,"ES1","IT1",2.07026604425032,40.5208510587654,6,"18/19","LaLiga","Serie A",282450000,"LaLigaSerie A"
2018,"ES1","IT1",3.05483836641879,40.6204324647273,7,"18/19","LaLiga","Serie A",282450000,"LaLigaSerie A"
2018,"ES1","IT1",4.03724704085048,40.7394799779102,8,"18/19","LaLiga","Serie A",282450000,"LaLigaSerie A"
2018,"ES1","IT1",5.01710723876747,40.8779469650644,9,"18/19","LaLiga","Serie A",282450000,"LaLigaSerie A"
2018,"ES1","IT1",5.99403512968044,41.0357791859507,10,"18/19","LaLiga","Serie A",282450000,"LaLigaSerie A"
2018,"ES1","IT1",6.96764803174218,41.2129148145876,11,"18/19","LaLiga","Serie A",282450000,"LaLigaSerie A"
2018,"ES1","IT1",7.93756456165165,41.4092844634693,12,"18/19","LaLiga","Serie A",282450000,"LaLigaSerie A"
2018,"ES1","IT1",8.90340478404955,41.6248112107466,13,"18/19","LaLiga","Serie A",282450000,"LaLigaSerie A"
2018,"ES1","IT1",9.86479036034626,41.8594106303585,14,"18/19","LaLiga","Serie A",282450000,"LaLigaSerie A"
2018,"ES1","IT1",10.8213446969245,42.1129908251034,15,"18/19","LaLiga","Serie A",282450000,"LaLigaSerie A"
2018,"ES1","IT1",11.7726930926587,42.3854524626373,16,"18/19","LaLiga","Serie A",282450000,"LaLigaSerie A"
2018,"ES1","IT1",12.7184628856923,42.6766888143841,17,"18/19","LaLiga","Serie A",282450000,"LaLigaSerie A"
2018,"IT1","ES1",12.7176342424351,42.6707410030026,0,"18/19","Serie A","LaLiga",55500000,"Serie ALaLiga"
2018,"IT1","ES1",11.7281966415119,42.6884143692046,1,"18/19","Serie A","LaLiga",55500000,"Serie ALaLiga"
2018,"IT1","ES1",10.7386030591414,42.6865023742496,2,"18/19","Serie A","LaLiga",55500000,"Serie ALaLiga"
2018,"IT1","ES1",9.74924113857098,42.6650057671034,3,"18/19","Serie A","LaLiga",55500000,"Serie ALaLiga"
2018,"IT1","ES1",8.76049843230154,42.6239329684093,4,"18/19","Serie A","LaLiga",55500000,"Serie ALaLiga"
2018,"IT1","ES1",7.77276225027555,42.5633000671896,5,"18/19","Serie A","LaLiga",55500000,"Serie ALaLiga"
2018,"IT1","ES1",6.7864195081602,42.4831308145428,6,"18/19","Serie A","LaLiga",55500000,"Serie ALaLiga"
2018,"IT1","ES1",5.80185657578486,42.3834566143402,7,"18/19","Serie A","LaLiga",55500000,"Serie ALaLiga"
2018,"IT1","ES1",4.81945912579245,42.264316510924,8,"18/19","Serie A","LaLiga",55500000,"Serie ALaLiga"
2018,"IT1","ES1",3.83961198256394,42.1257571738135,9,"18/19","Serie A","LaLiga",55500000,"Serie ALaLiga"
2018,"IT1","ES1",2.86269897147501,41.967832879423,10,"18/19","Serie A","LaLiga",55500000,"Serie ALaLiga"
2018,"IT1","ES1",1.88910276854414,41.7906054898011,11,"18/19","Serie A","LaLiga",55500000,"Serie ALaLiga"
2018,"IT1","ES1",0.91920475053089,41.5941444283982,12,"18/19","Serie A","LaLiga",55500000,"Serie ALaLiga"
2018,"IT1","ES1",-0.0466151544568518,41.3785266528715,13,"18/19","Serie A","LaLiga",55500000,"Serie ALaLiga"
2018,"IT1","ES1",-1.00797861578819,41.1438366249398,14,"18/19","Serie A","LaLiga",55500000,"Serie ALaLiga"
2018,"IT1","ES1",-1.96450904850876,40.8901662772974,15,"18/19","Serie A","LaLiga",55500000,"Serie ALaLiga"
2018,"IT1","ES1",-2.91583176085644,40.6176149776032,16,"18/19","Serie A","LaLiga",55500000,"Serie ALaLiga"
