Season,Player,From_Club,To_Club,From_League,To_League,Fee
20/21,Tete Morente,fc-malaga,fc-elche,ES2,ES1,500000.0
20/21,Emiliano Rigoni,zenit-st-petersburg,fc-elche,RU1,ES1,100000.0
20/21,Emiliano Rigoni,fc-elche,fc-sao-paulo,ES1,BRA1,3800000.0
20/21,Óscar Gil,fc-elche,espanyol-barcelona,ES1,ES2,500000.0
21/22,Rodrigo de Paul,udinese-calcio,atletico-madrid,IT1,ES1,35000000.0
21/22,Matheus Cunha,hertha-bsc,atletico-madrid,L1,ES1,35000000.0
21/22,Reinildo Mandava,losc-lille,atletico-madrid,FR1,ES1,3000000.0
21/22,Daniel Wass,fc-valencia,atletico-madrid,ES1,ES1,2700000.0
21/22,Nicolás Ibáñez,atletico-madrid,cf-pachuca,ES1,MEX1,3000000.0
21/22,Javi Montero,atletico-madrid,besiktas-istanbul,ES1,TR1,750000.0
21/22,Emerson Royal,real-betis-sevilla,fc-barcelona,ES1,ES1,14000000.0
21/22,Jean-Clair Todibo,fc-barcelona,ogc-nizza,ES1,FR1,8500000.0
21/22,Carles Aleñá,fc-barcelona,fc-getafe,ES1,ES1,5000000.0
21/22,Monchu,fc-barcelona,fc-granada,ES1,ES1,750000.0
21/22,Eduardo Camavinga,fc-stade-rennes,real-madrid,FR1,ES1,31000000.0
21/22,Gonzalo Montiel,club-atletico-river-plate,fc-sevilla,AR1N,ES1,11000000.0
21/22,Thomas Delaney,borussia-dortmund,fc-sevilla,L1,ES1,6000000.0
21/22,Ludwig Augustinsson,sv-werder-bremen,fc-sevilla,L2,ES1,5500000.0
21/22,Jesús Corona,fc-porto,fc-sevilla,PO1,ES1,3000000.0
21/22,Guilherme Arana,fc-sevilla,clube-atletico-mineiro,ES1,BRA1,2500000.0
21/22,Sergi Gómez,fc-sevilla,espanyol-barcelona,ES1,ES1,1000000.0
21/22,Diego Rico,afc-bournemouth,real-sociedad-san-sebastian,GB2,ES1,500000.0
21/22,Arnaut Danjuma,afc-bournemouth,fc-villarreal,GB2,ES1,23500000.0
21/22,Boulaye Dia,stade-reims,fc-villarreal,FR1,ES1,12000000.0
21/22,Manu Morlanes,ud-almeria,fc-villarreal,ES2,ES1,4000000.0
21/22,Manu Morlanes,fc-villarreal,ud-almeria,ES1,ES2,3000000.0
21/22,Santiago Cáseres,fc-villarreal,club-atletico-velez-sarsfield,ES1,AR1N,2500000.0
21/22,Ramiro Funes Mori,fc-villarreal,al-nasr-riad,ES1,SA1,2500000.0
21/22,Mario González,fc-villarreal,sc-braga,ES1,PO1,1470000.0
21/22,Miguel Llambrich,fc-villarreal,espanyol-barcelona,ES1,ES1,500000.0
21/22,Enric Franquesa,fc-villarreal,ud-levante,ES1,ES1,375000.0
21/22,Germán Pezzella,ac-florenz,real-betis-sevilla,IT1,ES1,3250000.0
21/22,Matías Arezo,atletico-river-plate-montevideo,fc-granada,URUC,ES1,5700000.0
21/22,Luís Maximiano,sporting-lissabon,fc-granada,PO1,ES1,5500000.0
21/22,Myrto Uzuni,ferencvaros-budapest,fc-granada,UNG1,ES1,4000000.0
21/22,Njegos Petrovic,roter-stern-belgrad,fc-granada,SER1,ES1,1500000.0
21/22,Dimitri Foulquier,fc-granada,fc-valencia,ES1,ES1,2500000.0
