Season,League,club_code,club_name,Expenditure,Income
19/20,IT1,lazio-rom,SS Lazio,49950000.0,35350000.0
19/20,IT1,us-lecce,US Lecce,6200000.0,450000000.0
19/20,IT1,ac-mailand,AC Milan,144080000.0,59230000.0
19/20,IT1,ssc-neapel,SSC Napoli,210020000.0,48720000.0
19/20,IT1,parma-calcio-1913,Parma Calcio 1913,23310000.0,18460000.0
19/20,IT1,as-rom,AS Roma,117400000.0,107180000.0
19/20,IT1,sampdoria-genua,UC Sampdoria,65250000.0,74590000.0
19/20,IT1,us-sassuolo,US Sassuolo,66870000.00000001,51950000.0
19/20,IT1,spal,SPAL,26150000.0,39700000.0
19/20,IT1,fc-turin,Torino FC,27800000.0,24400000.0
19/20,IT1,udinese-calcio,Udinese Calcio,13850000.0,60270000.0
20/21,IT1,atalanta-bergamo,Atalanta BC,61740000.0,78400000.0
20/21,IT1,benevento-calcio,Benevento Calcio,11600000.0,1000000.0
20/21,IT1,fc-bologna,Bologna FC 1909,3150000.0,5000000.0
20/21,IT1,cagliari-calcio,Cagliari Calcio,34180000.0,42660000.0
20/21,IT1,fc-crotone,FC Crotone,5490000.0,0.0
20/21,IT1,ac-florenz,ACF Fiorentina,59800000.0,59890000.0
20/21,IT1,genua-cfc,Genoa CFC,65180000.00000001,71790000.0
20/21,IT1,hellas-verona,Hellas Verona,18950000.0,5400000.0
20/21,IT1,inter-mailand,Inter Milan,126500000.0,82950000.0
20/21,IT1,juventus-turin,Juventus FC,161900000.0,110310000.0
20/21,IT1,lazio-rom,SS Lazio,42700000.0,7850000.0
20/21,IT1,ac-mailand,AC Milan,32020000.000000004,51650000.0
20/21,IT1,ssc-neapel,SSC Napoli,79750000.0,123060000.0
20/21,IT1,parma-calcio-1913,Parma Calcio 1913,102330000.0,4000000.0
20/21,IT1,as-rom,AS Roma,75100000.0,49000000.0
20/21,IT1,sampdoria-genua,UC Sampdoria,17750000.0,12100000.0
20/21,IT1,us-sassuolo,US Sassuolo,29660000.0,62360000.0
20/21,IT1,spezia-calcio,Spezia Calcio,5120000.0,1960000.0
20/21,IT1,fc-turin,Torino FC,46700000.0,27000000.0
20/21,IT1,udinese-calcio,Udinese Calcio,21500000.0,31550000.0
21/22,IT1,inter-mailand,Inter Milan,42550000.0,205550000.0
21/22,IT1,ac-mailand,AC Milan,100360000.0,5120000.0
21/22,IT1,atalanta-bergamo,Atalanta BC,66200000.0,51920000.0
21/22,IT1,juventus-turin,Juventus FC,141650000.0,64030000.0
21/22,IT1,ssc-neapel,SSC Napoli,23800000.0,3200000.0
21/22,IT1,lazio-rom,SS Lazio,13800000.0,8900000.0
21/22,IT1,as-rom,AS Roma,132050000.0,17240000.0
21/22,IT1,us-sassuolo,US Sassuolo,40120000.0,23400000.0
21/22,IT1,sampdoria-genua,UC Sampdoria,14510000.0,8860000.0
21/22,IT1,hellas-verona,Hellas Verona,42270000.0,37520000.0
21/22,IT1,genua-cfc,Genoa CFC,41240000.0,20860000.0
21/22,IT1,fc-bologna,Bologna FC 1909,32310000.000000004,25000000.0
21/22,IT1,udinese-calcio,Udinese Calcio,9400000.0,79630000.0
21/22,IT1,ac-florenz,ACF Fiorentina,65050000.0,114100000.0
21/22,IT1,spezia-calcio,Spezia Calcio,27790000.0,5200000.0
21/22,IT1,cagliari-calcio,Cagliari Calcio,16430000.0,7370000.0
21/22,IT1,fc-turin,Torino FC,13400000.0,16750000.0
21/22,IT1,fc-empoli,FC Empoli,10500000.0,28200000.0
21/22,IT1,us-salernitana-1919,US Salernitana 1919,14500000.0,0.0
21/22,IT1,venezia-fc,Venezia FC,20390000.0,200000000.0
22/23,IT1,ac-mailand,AC Milan,56290000.0,10880000.0
22/23,IT1,inter-mailand,Inter Milan,70180000.0,23000000.0
22/23,IT1,ssc-neapel,SSC Napoli,79300000.0,86230000.0
22/23,IT1,juventus-turin,Juventus FC,122750000.0,111600000.0
22/23,IT1,lazio-rom,SS Lazio,41650000.0,42350000.0
22/23,IT1,as-rom,AS Roma,9400000.0,73320000.0
22/23,IT1,ac-florenz,ACF Fiorentina,36710000.0,50730000.0
22/23,IT1,atalanta-bergamo,Atalanta BC,105150000.0,135350000.0
22/23,IT1,hellas-verona,Hellas Verona,41210000.0,36560000.0
22/23,IT1,fc-turin,Torino FC,30380000.0,57220000.0
22/23,IT1,us-sassuolo,US Sassuolo,51280000.0,69330000.0
22/23,IT1,udinese-calcio,Udinese Calcio,69700000.0,62600000.0
22/23,IT1,fc-bologna,Bologna FC 1909,33300000.0,42750000.0
22/23,IT1,fc-empoli,FC Empoli,15200000.0,31710000.0
22/23,IT1,sampdoria-genua,UC Sampdoria,6650000.0,35600000.0
22/23,IT1,spezia-calcio,Spezia Calcio,18320000.0,32970000.0
22/23,IT1,us-salernitana-1919,US Salernitana 1919,48370000.0,23000000.0
22/23,IT1,us-lecce,US Lecce,6630000.0,3600000.0
22/23,IT1,us-cremonese,US Cremonese,34150000.0,500000000.0
22/23,IT1,ac-monza,AC Monza,47150000.0,185000000.0
18/19,FR1,amiens-sc,Amiens SC,7490000.0,10000000.0
18/19,FR1,sco-angers,Angers SCO,4450000.0,21000000.0
18/19,FR1,fc-girondins-bordeaux,FC Girondins Bordeaux,21460000.0,50700000.0
18/19,FR1,sm-caen,SM Caen,9950000.0,14500000.0
18/19,FR1,dijon-fco,Dijon FCO,9200000.0,4000000.0
18/19,FR1,ea-guingamp,EA Guingamp,3500000.0,4000000.0
18/19,FR1,losc-lille,LOSC Lille,29100000.0,69700000.0
18/19,FR1,olympique-lyon,Olympique Lyon,46450000.0,90100000.0
18/19,FR1,olympique-marseille,Olympique Marseille,66000000.0,32850000.0
18/19,FR1,as-monaco,AS Monaco,145850000.0,367250000.0
18/19,FR1,montpellier-hsc,Montpellier HSC,10150000.0,25500000.0
18/19,FR1,fc-nantes,FC Nantes,14350000.0,22200000.0
18/19,FR1,ogc-nizza,OGC Nice,28000000.0,61700000.0
18/19,FR1,nimes-olympique,Nîmes Olympique,3150000.0,0.0
18/19,FR1,fc-paris-saint-germain,Paris Saint-Germain,262000000.0,114000000.0
18/19,FR1,stade-reims,Stade Reims,15500000.0,11000000.0
18/19,FR1,fc-stade-rennes,Stade Rennais FC,18000000.0,18500000.0
18/19,FR1,as-saint-etienne,AS Saint-Étienne,15000000.0,18700000.0
18/19,FR1,rc-strassburg-alsace,RC Strasbourg Alsace,15750000.0,14000000.0
18/19,FR1,fc-toulouse,FC Toulouse,18450000.0,35500000.0
19/20,FR1,amiens-sc,Amiens SC,17850000.0,5440000.0
19/20,FR1,sco-angers,Angers SCO,10400000.0,34000000.0
19/20,FR1,fc-girondins-bordeaux,FC Girondins Bordeaux,17000000.0,62250000.0
19/20,FR1,stade-brest-29,Stade Brestois 29,7500000.0,500000000.0
19/20,FR1,dijon-fco,Dijon FCO,10470000.0,24500000.0
19/20,FR1,losc-lille,LOSC Lille,99400000.0,171000000.0
19/20,FR1,olympique-lyon,Olympique Lyon,126000000.0,160320000.0
19/20,FR1,olympique-marseille,Olympique Marseille,27000000.0,27250000.0
19/20,FR1,fc-metz,FC Metz,14350000.0,2600000.0
19/20,FR1,nimes-olympique,Nîmes Olympique,9850000.0,20500000.0
19/20,FR1,as-monaco,AS Monaco,200000000.0,83750000.0
19/20,FR1,montpellier-hsc,Montpellier HSC,20300000.0,40000000.0
19/20,FR1,fc-nantes,FC Nantes,18750000.0,38500000.0
19/20,FR1,ogc-nizza,OGC Nice,52200000.0,23110000.0
19/20,FR1,fc-paris-saint-germain,Paris Saint-Germain,95000000.0,112400000.0
19/20,FR1,stade-reims,Stade Reims,21700000.0,26600000.0
19/20,FR1,fc-stade-rennes,Stade Rennais FC,58100000.0,54500000.0
19/20,FR1,as-saint-etienne,AS Saint-Étienne,13450000.0,45850000.0
19/20,FR1,rc-strassburg-alsace,RC Strasbourg Alsace,11000000.0,21500000.0
19/20,FR1,fc-toulouse,FC Toulouse,14000000.0,17150000.0
20/21,FR1,fc-paris-saint-germain,Paris Saint-Germain,62000000.0,400000000.0
20/21,FR1,olympique-marseille,Olympique Marseille,17420000.0,33450000.000000004
20/21,FR1,fc-stade-rennes,Stade Rennais FC,70560000.0,55420000.0
20/21,FR1,losc-lille,LOSC Lille,40430000.0,106680000.0
20/21,FR1,ogc-nizza,OGC Nice,29230000.0,20510000.0
20/21,FR1,stade-reims,Stade Reims,11200000.0,17000000.0
20/21,FR1,olympique-lyon,Olympique Lyon,36600000.0,50600000.0
20/21,FR1,montpellier-hsc,Montpellier HSC,13100000.0,0.0
20/21,FR1,rc-strassburg-alsace,RC Strasbourg Alsace,12000000.0,500000000.0
20/21,FR1,as-monaco,AS Monaco,52700000.0,13530000.0
20/21,FR1,sco-angers,Angers SCO,11250000.0,10700000.0
20/21,FR1,fc-girondins-bordeaux,FC Girondins Bordeaux,0.0,17000000.0
20/21,FR1,fc-nantes,FC Nantes,5000000.0,2000000.0
20/21,FR1,stade-brest-29,Stade Brestois 29,16100000.000000002,12000000.0
20/21,FR1,fc-metz,FC Metz,14700000.0,10000000.0
20/21,FR1,dijon-fco,Dijon FCO,15800000.0,17000000.0
20/21,FR1,as-saint-etienne,AS Saint-Étienne,6200000.0,44100000.0
20/21,FR1,nimes-olympique,Nîmes Olympique,11250000.0,2500000.0
20/21,FR1,fc-lorient,FC Lorient,26500000.0,6500000.0
20/21,FR1,rc-lens,RC Lens,19000000.0,0.0
21/22,FR1,losc-lille,LOSC Lille,25600000.0,79050000.0
21/22,FR1,fc-paris-saint-germain,Paris Saint-Germain,91000000.0,11000000.0
21/22,FR1,as-monaco,AS Monaco,45500000.0,34640000.0
21/22,FR1,olympique-lyon,Olympique Lyon,22920000.0,95600000.0
21/22,FR1,olympique-marseille,Olympique Marseille,54120000.0,8000000.0
21/22,FR1,fc-stade-rennes,Stade Rennais FC,81500000.0,49900000.0
21/22,FR1,rc-lens,RC Lens,20600000.0,18000000.0
21/22,FR1,montpellier-hsc,Montpellier HSC,200000000.0,25000000.0
21/22,FR1,ogc-nizza,OGC Nice,55000000.0,26050000.0
21/22,FR1,fc-metz,FC Metz,2500000.0,23500000.0
21/22,FR1,as-saint-etienne,AS Saint-Étienne,600000000.0,0.0
21/22,FR1,fc-girondins-bordeaux,FC Girondins Bordeaux,9800000.0,18850000.0
21/22,FR1,sco-angers,Angers SCO,1870000.0,18100000.0
21/22,FR1,stade-reims,Stade Reims,16000000.0,15050000.0
21/22,FR1,rc-strassburg-alsace,RC Strasbourg Alsace,4500000.0,16000000.0
21/22,FR1,fc-lorient,FC Lorient,10500000.0,10000000.0
21/22,FR1,stade-brest-29,Stade Brestois 29,9250000.0,28200000.0
21/22,FR1,fc-nantes,FC Nantes,7500000.0,15800000.0
21/22,FR1,es-troyes-ac,ESTAC Troyes,21800000.0,0.0
21/22,FR1,clermont-foot-63,Clermont Foot 63,0.0,0.0
22/23,FR1,fc-paris-saint-germain,Paris Saint-Germain,147000000.0,61800000.0
22/23,FR1,olympique-marseille,Olympique Marseille,121550000.0,37480000.0
22/23,FR1,as-monaco,AS Monaco,43500000.0,156200000.0
22/23,FR1,fc-stade-rennes,Stade Rennais FC,84000000.0,95000000.0
22/23,FR1,ogc-nizza,OGC Nice,83000000.0,49200000.0
22/23,FR1,rc-strassburg-alsace,RC Strasbourg Alsace,7000000.0,10900000.0
22/23,FR1,rc-lens,RC Lens,43940000.0,51550000.0
22/23,FR1,olympique-lyon,Olympique Lyon,32450000.000000004,79850000.0
22/23,FR1,fc-nantes,FC Nantes,12450000.0,0.0
