,Year,From_League,To_League,Longitude,Latitude,Distinction,Season,From_League_name,To_League_name,Fee_total,From_To,Country
109,2018,ES1,FR1,-2.83377386642184,42.084832177979,7,18/19,LaLiga,Ligue 1,1500000,LaLigaLigue 1,
110,2018,ES1,FR1,-3.37526272835613,41.2276099724012,8,18/19,LaLiga,Ligue 1,1500000,LaLigaLigue 1,
111,2018,ES1,FR1,-3.85760381626696,40.3357651584073,9,18/19,LaLiga,Ligue 1,1500000,LaLigaLigue 1,
112,2018,FR1,ES1,-3.86254233785258,40.3319845511868,0,18/19,Ligue 1,LaLiga,268400000,Ligue 1LaLiga,
113,2018,FR1,ES1,-2.98977831638016,40.848049527869,1,18/19,Ligue 1,LaLiga,268400000,Ligue 1LaLiga,
114,2018,FR1,ES1,-2.15387157234636,41.4218962082755,2,18/19,Ligue 1,LaLiga,268400000,Ligue 1LaLiga,
115,2018,FR1,ES1,-1.35864141975335,42.0509026484187,3,18/19,Ligue 1,LaLiga,268400000,Ligue 1LaLiga,
116,2018,FR1,ES1,-0.607721318527698,42.7321948756678,4,18/19,Ligue 1,LaLiga,268400000,Ligue 1LaLiga,
117,2018,FR1,ES1,0.095457727001893,43.4626600201222,5,18/19,Ligue 1,LaLiga,268400000,Ligue 1LaLiga,
118,2018,FR1,ES1,0.747682844593614,44.2389605375233,6,18/19,Ligue 1,LaLiga,268400000,Ligue 1LaLiga,
119,2018,FR1,ES1,1.34597397392136,45.0575494587178,7,18/19,Ligue 1,LaLiga,268400000,Ligue 1LaLiga,
120,2018,FR1,ES1,1.88759748267034,45.9146865959982,8,18/19,Ligue 1,LaLiga,268400000,Ligue 1LaLiga,
121,2018,FR1,ES1,2.37007865668653,46.8064556322709,9,18/19,Ligue 1,LaLiga,268400000,Ligue 1LaLiga,
122,2018,ES1,GB1,-3.86656631069273,40.3330288573205,0,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,
123,2018,ES1,GB1,-3.50117836266055,41.2574101804816,1,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,
124,2018,ES1,GB1,-3.16218692218413,42.1917944624876,2,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,
125,2018,ES1,GB1,-2.84986539324417,43.1354281020622,3,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,
126,2018,ES1,GB1,-2.56446566995682,44.0875500381206,4,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,
127,2018,ES1,GB1,-2.30621793341553,45.0473923635822,5,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,
128,2018,ES1,GB1,-2.07533046604502,46.014180944704,6,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,
129,2018,ES1,GB1,-1.87198948361698,46.9871360454364,7,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,
130,2018,ES1,GB1,-1.69635898506291,47.9654729562978,8,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,
131,2018,ES1,GB1,-1.54858062020555,48.9484026272592,9,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,
132,2018,ES1,GB1,-1.42877357551507,49.9351323041305,10,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,
133,2018,ES1,GB1,-1.33703447798266,50.9248661679344,11,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,
134,2018,ES1,GB1,-1.27343731718879,51.916805976751,12,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,
135,2018,ES1,GB1,-1.2380333856289,52.9101517095179,13,18/19,LaLiga,Premier League,232950000,LaLigaPremier League,
136,2018,GB1,ES1,-1.23079067911815,52.9137918641723,0,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,
137,2018,GB1,ES1,-1.59603341971231,51.9893531568372,1,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,
138,2018,GB1,ES1,-1.93487808179957,51.0549156371757,2,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,
139,2018,GB1,ES1,-2.24705137977919,50.1112329494015,3,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,
140,2018,GB1,ES1,-2.53230153908652,49.1590661941578,4,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,
141,2018,GB1,ES1,-2.79039849925471,48.1991833146729,5,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,
142,2018,GB1,ES1,-3.02113409946348,47.2323584773976,6,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,
143,2018,GB1,ES1,-3.22432224642532,46.2593714476226,7,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,
144,2018,GB1,ES1,-3.39979906447384,45.2810069605813,8,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,
145,2018,GB1,ES1,-3.547423027733,44.2980540885432,9,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,
146,2018,GB1,ES1,-3.66707507426087,43.3113056044107,10,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,
147,2018,GB1,ES1,-3.75865870207564,42.3215573423296,11,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,
148,2018,GB1,ES1,-3.82210004698658,41.3296075558323,12,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,
149,2018,GB1,ES1,-3.85734794216713,40.3362562740284,13,18/19,Premier League,LaLiga,83000000,Premier LeagueLaLiga,
150,2018,ES1,IT1,-3.86096634570212,40.3337998805472,0,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,
151,2018,ES1,IT1,-2.87153041486559,40.3160332611943,1,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,
152,2018,ES1,IT1,-1.88193665668721,40.3178519882105,2,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,
153,2018,ES1,IT1,-0.892572714483214,40.3392553491647,3,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,
154,2018,ES1,IT1,0.0961738584536387,40.3802349599399,4,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,
155,2018,ES1,IT1,1.08391575066612,40.4407747680175,5,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,
156,2018,ES1,IT1,2.07026604425032,40.5208510587654,6,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,
157,2018,ES1,IT1,3.05483836641879,40.6204324647273,7,18/19,LaLiga,Serie A,282450000,LaLigaSerie A,
