Season,Player,From_Club,To_Club,From_League,To_League,Fee
18/19,Javier Pastore,fc-paris-saint-germain,as-rom,FR1,IT1,24700000.0
18/19,Yuri Berchiche,fc-paris-saint-germain,athletic-bilbao,FR1,ES1,24000000.0
18/19,Odsonne Edouard,fc-paris-saint-germain,celtic-glasgow,FR1,SC1,10300000.0
18/19,Yacine Adli,fc-paris-saint-germain,fc-girondins-bordeaux,FR1,FR1,5500000.0
18/19,Jonathan Ikoné,fc-paris-saint-germain,losc-lille,FR1,FR1,5000000.0
18/19,Arbër Zeneli,sc-heerenveen,stade-reims,NL1,FR1,4000000.0
18/19,Ghislain Konan,vitoria-guimaraes-sc,stade-reims,PO1,FR1,4000000.0
18/19,Thomas Foket,kaa-gent,stade-reims,BE1,FR1,3500000.0
18/19,Hyun-jun Suk,es-troyes-ac,stade-reims,FR2,FR1,3000000.0
18/19,Tristan Dingomé,es-troyes-ac,stade-reims,FR2,FR1,1000000.0
18/19,Jordan,stade-reims,fc-stade-rennes,FR1,FR1,9000000.0
18/19,Julian Jeanvier,stade-reims,fc-brentford,FR1,GB2,2000000.0
18/19,Jordan,stade-reims,fc-stade-rennes,FR1,FR1,9000000.0
18/19,Clément Grenier,ea-guingamp,fc-stade-rennes,FR1,FR1,4000000.0
18/19,Souleyman Doumbia,grasshopper-club-zurich,fc-stade-rennes,C1,FR1,3000000.0
18/19,Romain Del Castillo,olympique-lyon,fc-stade-rennes,FR1,FR1,2000000.0
18/19,Joris Gnagnon,fc-stade-rennes,fc-sevilla,FR1,ES1,13500000.0
18/19,Firmin Mubele,fc-stade-rennes,fc-toulouse,FR1,FR1,5000000.0
18/19,Wahbi Khazri,afc-sunderland,as-saint-etienne,GB3,FR1,7000000.0
18/19,Rémy Cabella,olympique-marseille,as-saint-etienne,FR1,FR1,6000000.0
18/19,Franck Honorat,clermont-foot-63,as-saint-etienne,FR2,FR1,2000000.0
18/19,Ronaël Pierre-Gabriel,as-saint-etienne,as-monaco,FR1,FR1,6000000.0
18/19,Ole Selnæs,as-saint-etienne,shenzhen-fc,FR1,CSL,5500000.0
18/19,Cheikh M'Bengue,as-saint-etienne,shenzhen-fc,FR1,CSL,4000000.0
18/19,Saidy Janko,as-saint-etienne,fc-porto,FR1,PO1,2200000.0
18/19,Vincent Pajot,as-saint-etienne,sco-angers,FR1,FR1,1000000.0
18/19,Lebo Mothiba,losc-lille,rc-strassburg-alsace,FR1,FR1,4000000.0
18/19,Matz Sels,newcastle-united,rc-strassburg-alsace,GB1,FR1,4000000.0
18/19,Stefan Mitrovic,kaa-gent,rc-strassburg-alsace,BE1,FR1,3000000.0
18/19,Ludovic Ajorque,clermont-foot-63,rc-strassburg-alsace,FR2,FR1,2000000.0
18/19,Ibrahima Sissoko,stade-brest-29,rc-strassburg-alsace,FR2,FR1,2000000.0
18/19,Lionel Carole,galatasaray-istanbul,rc-strassburg-alsace,TR1,FR1,750000.0
18/19,Jean-Eudes Aholou,rc-strassburg-alsace,as-monaco,FR1,FR1,14000000.0
18/19,Firmin Mubele,fc-stade-rennes,fc-toulouse,FR1,FR1,5000000.0
18/19,Baptiste Reynet,dijon-fco,fc-toulouse,FR1,FR1,4000000.0
18/19,Gen Shoji,kashima-antlers,fc-toulouse,JAP1,FR1,3000000.0
18/19,Mathieu Dossevi,fc-metz,fc-toulouse,FR2,FR1,2500000.0
18/19,Max Gradel,afc-bournemouth,fc-toulouse,GB1,FR1,2000000.0
18/19,Aaron Leya Iseka,rsc-anderlecht,fc-toulouse,BE1,FR1,1250000.0
18/19,John Bostock,bursaspor,fc-toulouse,TR1,FR1,700000.0
18/19,Issa Diop,fc-toulouse,west-ham-united,FR1,GB1,25000000.0
18/19,Alban Lafont,fc-toulouse,ac-florenz,FR1,IT1,8000000.0
18/19,Somália,fc-toulouse,al-shabab-riad,FR1,SA1,1500000.0
18/19,Jean-Clair Todibo,fc-toulouse,fc-barcelona,FR1,ES1,1000000.0
19/20,Serhou Guirassy,1-fc-koln,amiens-sc,L1,FR1,6000000.0
19/20,Gaël Kakuta,rayo-vallecano,amiens-sc,ES2,FR1,3000000.0
19/20,Eddy Gnahoré,palermo-fc,amiens-sc,IT4I,FR1,2500000.0
19/20,Emil Krafth,fc-bologna,amiens-sc,IT1,FR1,2000000.0
19/20,Jack Lahne,if-brommapojkarna,amiens-sc,SE3N,FR1,2000000.0
19/20,Alexis Blin,fc-toulouse,amiens-sc,FR1,FR1,1650000.0
19/20,Aurélien Chedjou,istanbul-basaksehir-fk,amiens-sc,TR1,FR1,200000.0
19/20,Emil Krafth,amiens-sc,newcastle-united,FR1,GB1,5400000.0
19/20,Oualid El Hajjam,amiens-sc,es-troyes-ac,FR1,FR2,35000.0
19/20,Sada Thioub,nimes-olympique,sco-angers,FR1,FR1,3500000.0
19/20,Casimir Ninga,sm-caen,sco-angers,FR2,FR1,3000000.0
19/20,Antonin Bobichon,nimes-olympique,sco-angers,FR1,FR1,1500000.0
19/20,Mathias Pereira Lage,clermont-foot-63,sco-angers,FR2,FR1,1500000.0
19/20,Danijel Petkovic,fc-lorient,sco-angers,FR2,FR1,900000.0
19/20,Jeff Reine-Adélaïde,sco-angers,olympique-lyon,FR1,FR1,25000000.0
19/20,Flavien Tait,sco-angers,fc-stade-rennes,FR1,FR1,9000000.0
19/20,Rémi Oudin,stade-reims,fc-girondins-bordeaux,FR1,FR1,10000000.0
19/20,Laurent Koscielny,fc-arsenal,fc-girondins-bordeaux,GB1,FR1,5000000.0
19/20,Ui-jo Hwang,gamba-osaka,fc-girondins-bordeaux,JAP1,FR1,2000000.0
19/20,Jules Koundé,fc-girondins-bordeaux,fc-sevilla,FR1,ES1,35000000.0
19/20,Aurélien Tchouaméni,fc-girondins-bordeaux,as-monaco,FR1,FR1,18000000.0
19/20,Lukas Lerager,fc-girondins-bordeaux,genua-cfc,FR1,IT1,6000000.0
19/20,Zaydou Youssouf,fc-girondins-bordeaux,as-saint-etienne,FR1,FR1,2000000.0
19/20,Valentín Vada,fc-girondins-bordeaux,ud-almeria,FR1,ES2,750000.0
19/20,Daniel Mancini,fc-girondins-bordeaux,aris-thessaloniki,FR1,GR1,500000.0
19/20,Jean-Kévin Duverne,rc-lens,stade-brest-29,FR2,FR1,2000000.0
19/20,Ibrahima Diallo,as-monaco,stade-brest-29,FR1,FR1,2000000.0
19/20,Romain Perraud,ogc-nizza,stade-brest-29,FR1,FR1,2000000.0
19/20,Irvin Cardona,as-monaco,stade-brest-29,FR1,FR1,1500000.0
19/20,Anthony Weber,stade-brest-29,sm-caen,FR1,FR2,500000.0
19/20,Mounir Chouiar,rc-lens,dijon-fco,FR2,FR1,3500000.0
19/20,Bruno Ecuele Manga,cardiff-city,dijon-fco,GB2,FR1,2000000.0
19/20,Yassine Benzia,losc-lille,dijon-fco,FR1,FR1,1500000.0
19/20,Aurélien Scheidler,us-orleans,dijon-fco,FR2,FR1,1000000.0
19/20,Alfred Gomis,spal,dijon-fco,IT1,FR1,1000000.0
19/20,Mama Baldé,sporting-lissabon-u23,dijon-fco,PT23,FR1,665000.0
19/20,Ngonda Muzinga,as-vita-club-kinshasa,dijon-fco,-,FR1,300000.0
19/20,Wesley Saïd,dijon-fco,fc-toulouse,FR1,FR1,8000000.0
19/20,Valentin Rosier,dijon-fco,sporting-lissabon,FR1,PO1,5000000.0
19/20,Naïm Sliti,dijon-fco,al-ettifaq,FR1,SA1,5000000.0
19/20,Sory Kaba,dijon-fco,fc-midtjylland,FR1,DKMR,3000000.0
19/20,Chang-hoon Kwon,dijon-fco,sc-freiburg,FR1,L1,2000000.0
19/20,Jules Keita,dijon-fco,rc-lens,FR1,FR2,1500000.0
19/20,Victor Osimhen,rsc-charleroi,losc-lille,BE1,FR1,22400000.0
19/20,Renato Sanches,fc-bayern-munchen,losc-lille,L1,FR1,20000000.0
19/20,Yusuf Yazıcı,trabzonspor,losc-lille,TR1,FR1,18500000.0
19/20,Timothy Weah,fc-paris-saint-germain,losc-lille,FR1,FR1,10000000.0
19/20,Benjamin André,fc-stade-rennes,losc-lille,FR1,FR1,7000000.0
19/20,Domagoj Bradarić,hnk-hajduk-split,losc-lille,KR1,FR1,6500000.0
19/20,Léo Jardim,rio-ave-fc,losc-lille,PO1,FR1,6000000.0
19/20,Tiago Djaló,ac-mailand-u19,losc-lille,IJ2A,FR1,4000000.0
19/20,Reinildo Mandava,belenenses-sad,losc-lille,PO1,FR1,3000000.0
19/20,Jean Onana,leixoes-sc-u23,losc-lille,PT23,FR1,2000000.0
19/20,Nicolas Pépé,losc-lille,fc-arsenal,FR1,GB1,80000000.0
19/20,Rafael Leão,losc-lille,ac-mailand,FR1,IT1,49500000.0
19/20,Thiago Mendes,losc-lille,olympique-lyon,FR1,FR1,22000000.0
19/20,Anwar El Ghazi,losc-lille,aston-villa,FR1,GB1,9000000.0
19/20,Youssouf Koné,losc-lille,olympique-lyon,FR1,FR1,9000000.0
19/20,Yassine Benzia,losc-lille,dijon-fco,FR1,FR1,1500000.0
19/20,Jeff Reine-Adélaïde,sco-angers,olympique-lyon,FR1,FR1,25000000.0
19/20,Joachim Andersen,sampdoria-genua,olympique-lyon,IT1,FR1,24000000.0
19/20,Thiago Mendes,losc-lille,olympique-lyon,FR1,FR1,22000000.0
19/20,Bruno Guimarães,club-athletico-paranaense,olympique-lyon,BRA1,FR1,20000000.0
19/20,Tino Kadewere,ac-le-havre,olympique-lyon,FR2,FR1,12000000.0
19/20,Youssouf Koné,losc-lille,olympique-lyon,FR1,FR1,9000000.0
19/20,Jean Lucas,flamengo-rio-de-janeiro,olympique-lyon,BRA1,FR1,8000000.0
19/20,Camilo,aa-ponte-preta,olympique-lyon,BRA2,FR1,2000000.0
19/20,Tanguy Ndombélé,olympique-lyon,tottenham-hotspur,FR1,GB1,62000000.0
19/20,Ferland Mendy,olympique-lyon,real-madrid,FR1,ES1,48000000.0
19/20,Lucas Tousart,olympique-lyon,hertha-bsc,FR1,L1,25000000.0
19/20,Nabil Fekir,olympique-lyon,real-betis-sevilla,FR1,ES1,19750000.0
19/20,Jordan Ferri,olympique-lyon,montpellier-hsc,FR1,FR1,2000000.0
19/20,Christopher Martins Pereira,olympique-lyon,bsc-young-boys,FR1,C1,2000000.0
19/20,Elisha Owusu,olympique-lyon,kaa-gent,FR1,BE1,1000000.0
19/20,Timothé Cognat,olympique-lyon,servette-fc,FR1,C1,70000.0
19/20,Darío Benedetto,club-atletico-boca-juniors,olympique-marseille,AR1N,FR1,14000000.0
19/20,Valentin Rongier,fc-nantes,olympique-marseille,FR1,FR1,13000000.0
19/20,Lucas Ocampos,olympique-marseille,fc-sevilla,FR1,ES1,15000000.0
19/20,Luiz Gustavo,olympique-marseille,fenerbahce-istanbul,FR1,TR1,6000000.0
19/20,Clinton N'Jie,olympique-marseille,dinamo-moskau,FR1,RU1,6000000.0
19/20,Yusuf Sarı,olympique-marseille,trabzonspor,FR1,TR1,250000.0
19/20,Victorien Angban,fc-chelsea-u23,fc-metz,,FR1,6000000.0
19/20,Dylan Bronn,kaa-gent,fc-metz,BE1,FR1,4000000.0
19/20,Fabien Centonze,rc-lens,fc-metz,FR2,FR1,3000000.0
19/20,Habib Maïga,as-saint-etienne,fc-metz,FR1,FR1,1000000.0
19/20,Boubacar Traoré,as-bamako,fc-metz,-,FR1,350000.0
19/20,Jamiro Monteiro,fc-metz,philadelphia-union,FR1,,1800000.0
19/20,Cafú,fc-metz,legia-warschau,FR1,PL1,800000.0
19/20,Lamine Fomba,aj-auxerre,nimes-olympique,FR2,FR1,4000000.0
19/20,Sidy Sarr,lb-chateauroux,nimes-olympique,FR2,FR1,2000000.0
19/20,Moussa Koné,sg-dynamo-dresden,nimes-olympique,L2,FR1,1250000.0
19/20,Haris Duljevic,sg-dynamo-dresden,nimes-olympique,L2,FR1,1000000.0
19/20,Lucas Deaux,ea-guingamp,nimes-olympique,FR2,FR1,1000000.0
19/20,Romain Philippoteaux,aj-auxerre,nimes-olympique,FR2,FR1,300000.0
19/20,Vlatko Stojanovski,renova-dzepciste,nimes-olympique,MAZ1,FR1,300000.0
19/20,Téji Savanier,nimes-olympique,montpellier-hsc,FR1,FR1,9500000.0
