,Unnamed: 0,Year,From_League,To_League,Longitude,Latitude,Distinction,Season,From_League_name,To_League_name,Fee_total,From_To,From_Country,new_distinction
92,92,2018,IT1,L1,9.9485571835693,51.5248145907371,0,18/19,Serie A,Bundesliga,4500000,Serie ABundesliga,Italy,9
93,93,2018,IT1,L1,10.0906043401725,50.499516408854,1,18/19,Serie A,Bundesliga,4500000,Serie ABundesliga,Italy,8
94,94,2018,IT1,L1,10.2749717305513,49.4809770518153,2,18/19,Serie A,Bundesliga,4500000,Serie ABundesliga,Italy,7
95,95,2018,IT1,L1,10.5013433006923,48.4709425629468,3,18/19,Serie A,Bundesliga,4500000,Serie ABundesliga,Italy,6
96,96,2018,IT1,L1,10.7693309904126,47.471144406002,4,18/19,Serie A,Bundesliga,4500000,Serie ABundesliga,Italy,5
97,97,2018,IT1,L1,11.0784753985965,46.4832964969793,5,18/19,Serie A,Bundesliga,4500000,Serie ABundesliga,Italy,4
98,98,2018,IT1,L1,11.4282465707293,45.5090922660211,6,18/19,Serie A,Bundesliga,4500000,Serie ABundesliga,Italy,3
99,99,2018,IT1,L1,11.8180449073784,44.550201754431,7,18/19,Serie A,Bundesliga,4500000,Serie ABundesliga,Italy,2
100,100,2018,IT1,L1,12.2472021920635,43.6082687517851,8,18/19,Serie A,Bundesliga,4500000,Serie ABundesliga,Italy,1
101,101,2018,IT1,L1,12.7149827367549,42.684907978046,9,18/19,Serie A,Bundesliga,4500000,Serie ABundesliga,Italy,0
102,102,2018,ES1,FR1,2.37400008367352,46.8112151872169,0,18/19,LaLiga,Ligue 1,1500000,LaLigaLigue 1,Spain,9
103,103,2018,ES1,FR1,1.50131713707591,46.2950131220792,1,18/19,LaLiga,Ligue 1,1500000,LaLigaLigue 1,Spain,8
104,104,2018,ES1,FR1,0.665500543881693,45.7210351435156,2,18/19,LaLiga,Ligue 1,1500000,LaLigaLigue 1,Spain,7
105,105,2018,ES1,FR1,-0.129630793812144,45.0919037954237,3,18/19,LaLiga,Ligue 1,1500000,LaLigaLigue 1,Spain,6
106,106,2018,ES1,FR1,-0.880443867570952,44.4104936211472,4,18/19,LaLiga,Ligue 1,1500000,LaLigaLigue 1,Spain,5
107,107,2018,ES1,FR1,-1.58350816208172,43.6799180294944,5,18/19,LaLiga,Ligue 1,1500000,LaLigaLigue 1,Spain,4
108,108,2018,ES1,FR1,-2.23561132940773,42.9035150693647,6,18/19,LaLiga,Ligue 1,1500000,LaLigaLigue 1,Spain,3
109,109,2018,ES1,FR1,-2.83377386642184,42.084832177979,7,18/19,LaLiga,Ligue 1,1500000,LaLigaLigue 1,Spain,2
110,110,2018,ES1,FR1,-3.37526272835613,41.2276099724012,8,18/19,LaLiga,Ligue 1,1500000,LaLigaLigue 1,Spain,1
