league,season,income,spending
BE2,19/20,0,0
BE2,18/19,0,0
BE2,22/23,100000,0
URUC,20/21,8500000,0
URUC,21/22,5700000,0
URUC,19/20,0,0
URUC,18/19,3500000,0
URUC,22/23,12000000,0
MEX1,20/21,0,0
MEX1,21/22,0,3000000
MEX1,19/20,0,0
MEX1,18/19,0,0
MEX1,22/23,0,0
E3G1,20/21,0,0
E3G1,21/22,0,0
E3G1,19/20,0,0
E3G1,18/19,0,0
E3G1,22/23,6000000,1000000
RU2,20/21,0,0
RU2,21/22,0,0
RU2,19/20,0,3000000
RU2,18/19,0,0
RU2,22/23,1500000,0
IT4I,20/21,0,0
IT4I,21/22,0,0
IT4I,19/20,2500000,0
IT4I,18/19,0,0
IT4I,22/23,0,0
TR2,20/21,1850000,0
TR2,21/22,1350000,0
TR2,19/20,0,0
TR2,18/19,5000000,0
TR2,22/23,0,0
AR1N,20/21,26400000,0
AR1N,21/22,44550000,7700000
AR1N,19/20,71380000,0
AR1N,18/19,103750000,5400000
AR1N,22/23,38410000,1900000
MEXA,20/21,4500000,0
MEXA,21/22,3500000,900000
MEXA,19/20,4900000,9000000
MEXA,18/19,28000000,35830000
MEXA,22/23,8000000,3000000
RSK1,20/21,0,0
RSK1,21/22,2000000,0
RSK1,19/20,0,0
RSK1,18/19,0,0
RSK1,22/23,0,700000
URU1,20/21,0,0
URU1,21/22,0,0
URU1,19/20,2600000,0
URU1,18/19,5100000,0
URU1,22/23,2850000,0
DKMR,20/21,6750000,2500000
DKMR,21/22,42900000,1000000
DKMR,19/20,33300000,4000000
DKMR,18/19,36000000,3400000
DKMR,22/23,27500000,9470000
IT2,20/21,31100000,28621000
IT2,21/22,63150000,24250000
IT2,19/20,86871000,21542000
IT2,18/19,63330000,30848000
IT2,22/23,61670000,28409000
CLPD,20/21,1590000,0
CLPD,21/22,2000000,0
CLPD,19/20,0,0
CLPD,18/19,0,440000
CLPD,22/23,2500000,0
QSL,20/21,0,1000000
QSL,21/22,0,21000000
QSL,19/20,1600000,3000000
QSL,18/19,0,8000000
QSL,22/23,0,6000000
ES2,20/21,33200000,9650000
ES2,21/22,24350000,4000000
ES2,19/20,127450000,10950000
ES2,18/19,64150000,7800000
ES2,22/23,48530000,1000000
TS1,20/21,22200000,0
TS1,21/22,13900000,2500000
TS1,19/20,3750000,0
TS1,18/19,4000000,0
TS1,22/23,15000000,1500000
ISR1,20/21,0,0
ISR1,21/22,0,0
ISR1,19/20,5000000,0
ISR1,18/19,0,0
ISR1,22/23,0,0
ARG2,20/21,1950000,0
ARG2,21/22,0,0
ARG2,19/20,2230000,0
ARG2,18/19,1175000,0
ARG2,22/23,0,0
E3G2,20/21,0,0
E3G2,21/22,21000000,500000
E3G2,19/20,0,0
E3G2,18/19,0,0
E3G2,22/23,1000000,0
IT5,20/21,0,0
IT5,21/22,0,0
IT5,19/20,0,0
IT5,18/19,0,0
IT5,22/23,200000,0
TUN1,20/21,1000000,0
TUN1,21/22,0,0
TUN1,19/20,0,0
TUN1,18/19,1500000,0
TUN1,22/23,0,0
AJ1,20/21,500000,0
AJ1,21/22,0,0
AJ1,19/20,0,0
AJ1,18/19,0,0
AJ1,22/23,0,0
JAP1,20/21,0,0
JAP1,21/22,3900000,1500000
JAP1,19/20,3000000,2000000
JAP1,18/19,4100000,0
JAP1,22/23,0,0
RU1,20/21,35070000,20000000
RU1,21/22,40500000,40100000
RU1,19/20,2500000,117500000
RU1,18/19,94000000,7200000
RU1,22/23,28350000,0
ZYP1,20/21,0,0
ZYP1,21/22,0,370000
ZYP1,19/20,165000,0
ZYP1,18/19,4650000,0
ZYP1,22/23,0,1650000
KAS1,20/21,0,0
KAS1,21/22,0,0
KAS1,19/20,0,0
KAS1,18/19,3000000,750000
KAS1,22/23,0,0
